"Age" "Educ" "Hours" "Sex" "TVHours" "Happy" "MEduc" "FEduc" "Marital" "Sibs" "Work" "Zodiac" "Income"
45 16 40 "Male" 2 "Pretty Happy" 10 10 "Married" 2 "Fulltime" "Cancer" 110000
71 16 5 "Male" 2 "Pretty Happy" 16 14 "Divorced" 1 "Parttime" "Aquarius" 110000
48 16 40 "Male" 3 "Not Too Happy" 6 12 "Never Married" 1 "Fulltime" "Sagittarius" 55000
26 16 42 "Male" 2 "Pretty Happy" 18 16 "Never Married" 1 "Fulltime" "Scorpio" 23750
52 13 40 "Male" 1 "Very Happy" 12 12 "Married" 3 "Fulltime" "Leo" 27500
75 16 36 "Male" 4 "Very Happy" 11 12 "Married" 7 "Retired" "Sagittarius" 11250
42 16 40 "Female" 3 "Pretty Happy" 6 6 "Never Married" 4 "Fulltime" "Pisces" 55000
76 12 27 "Female" 5 "Pretty Happy" 12 12 "Married" 4 "Retired" "Aquarius" 55000
53 14 40 "Female" 2 "Pretty Happy" 16 18 "Married" 1 "Fulltime" "Leo" 67500
26 16 30 "Female" 5 "Not Too Happy" 12 14 "Never Married" 2 "Fulltime" "Taurus" 9000
59 18 17 "Female" 3 "Pretty Happy" 8 8 "Married" 2 "Parttime" "Libra" 16250
37 19 45 "Male" 2 "Pretty Happy" 8 16 "Married" 2 "Fulltime" "Scorpio" 67500
46 12 40 "Female" 2 "Very Happy" 16 12 "Married" 3 "Fulltime" "Sagittarius" 82500
28 13 40 "Male" 1 "Pretty Happy" 16 18 "Never Married" 2 "Fulltime" "Libra" 55000
54 17 40 "Female" 2 "Pretty Happy" 12 12 "Married" 2 "Fulltime" "Aries" 82500
32 14 58 "Female" 2 "Very Happy" 12 14 "Married" 5 "Parttime" "Gemini" 110000
53 14 44 "Female" 1 "Pretty Happy" 12 12 "Divorced" 3 "Fulltime" "Gemini" 32500
58 15 40 "Female" 3 "Pretty Happy" 14 18 "Married" 0 "Fulltime" "Virgo" 110000
37 16 65 "Male" 2 "Very Happy" 14 12 "Never Married" 2 "Fulltime" "Gemini" 82500
39 16 40 "Male" 3 "Not Too Happy" 10 14 "Never Married" 5 "Fulltime" "Sagittarius" 32500
38 12 29 "Female" 3 "Not Too Happy" 12 16 "Separated" 4 "Housekeeping" "Taurus" 2000
47 12 40 "Female" 2 "Pretty Happy" 12 10 "Divorced" 8 "Fulltime" "Taurus" 67500
41 12 42 "Female" 7 "Very Happy" 12 12 "Married" 0 "Fulltime" "Aries" 37500
34 12 40 "Female" 2 "Very Happy" 11 10 "Married" 3 "Fulltime" "Aquarius" 55000
52 16 48 "Male" 7 "Very Happy" 16 8 "Married" 2 "Laid Off" "Gemini" 82500
32 10 40 "Male" 4 "Not Too Happy" 6 6 "Married" 11 "Fulltime" "Sagittarius" 21250
21 12 40 "Female" 1 "Pretty Happy" 18 16 "Never Married" 6 "Fulltime" "Aries" 500
35 12 50 "Male" 1 "Very Happy" 4 5 "Married" 5 "Fulltime" "Virgo" 55000
49 17 40 "Female" 2 "Pretty Happy" 8 6 "Divorced" 2 "Fulltime" "Libra" 67500
20 12 40 "Male" 3 "Pretty Happy" 12 12 "Married" 4 "Fulltime" "Sagittarius" 11250
53 11 19 "Male" 15 "Not Too Happy" 10 12 "Married" 5 "Other" "Scorpio" 55000
54 13 40 "Female" 2 "Pretty Happy" 8 8 "Married" 8 "Fulltime" "Scorpio" 55000
31 12 40 "Male" 1 "Pretty Happy" 5 6 "Married" 4 "Fulltime" "Sagittarius" 32500
60 12 40 "Female" 0 "Pretty Happy" 14 16 "Widowed" 5 "Fulltime" "Aquarius" 16250
51 20 41 "Female" 6 "Not Too Happy" 20 16 "Married" 1 "Housekeeping" "Pisces" 27500
25 18 40 "Female" 2 "Very Happy" 12 12 "Never Married" 1 "Fulltime" "Libra" 82500
52 18 59 "Female" 1 "Very Happy" 12 12 "Married" 8 "Not Working" "Aquarius" 110000
66 9 45 "Female" 3 "Not Too Happy" 2 8 "Divorced" 8 "Retired" "Pisces" 6500
42 9 21 "Female" 1 "Very Happy" 0 0 "Married" 7 "Not Working" "Cancer" 18750
43 13 40 "Female" 3 "Pretty Happy" 6 6 "Married" 9 "Fulltime" "Aries" 55000
59 12 35 "Male" 4 "Pretty Happy" 12 8 "Married" 3 "Fulltime" "Leo" 37500
25 12 40 "Male" 2 "Very Happy" 12 12 "Married" 2 "Fulltime" "Taurus" 12567317
29 12 40 "Female" 2 "Very Happy" 9 7 "Married" 7 "Fulltime" "Gemini" 28637626
40 16 40 "Female" 2 "Pretty Happy" 12 5 "Never Married" 3 "Fulltime" "Pisces" 32500
31 12 47 "Female" 5 "Pretty Happy" 12 12 "Married" 9 "Housekeeping" "Taurus" 21250
38 16 40 "Female" 2 "Very Happy" 16 12 "Married" 1 "Fulltime" "Libra" 67500
25 14 40 "Female" 2 "Very Happy" 11 12 "Divorced" 2 "Fulltime" "Capricorn" 45000
42 16 70 "Male" 1 "Pretty Happy" 16 14 "Married" 5 "Fulltime" "Virgo" 82500
70 14 4 "Female" 3 "Pretty Happy" 12 12 "Married" 0 "Parttime" "Taurus" 11080968
48 12 10 "Female" 3 "Very Happy" 4 12 "Married" 8 "Parttime" "Taurus" 55000
36 14 50 "Female" 2 "Very Happy" 14 13 "Married" 2 "Fulltime" "Pisces" 55000
29 16 50 "Male" 10 "Pretty Happy" 20 17 "Never Married" 0 "Parttime" "Scorpio" 11250
51 8 40 "Female" 2 "Pretty Happy" 8 9 "Married" 8 "Fulltime" "Capricorn" 32500
62 18 40 "Male" 4 "Not Too Happy" 3 2 "Divorced" 12 "Fulltime" "Leo" 82500
33 13 60 "Female" 2 "Very Happy" 6 2 "Never Married" 10 "Fulltime" "Scorpio" 45000
41 14 40 "Female" 1 "Very Happy" 12 8 "Never Married" 5 "Fulltime" "Cancer" 45000
35 12 50 "Female" 20 "Pretty Happy" 8 8 "Married" 4 "Fulltime" "Cancer" 82500
19 13 48 "Female" 4 "Pretty Happy" 12 12 "Never Married" 1 "School" "Capricorn" 9000
25 16 40 "Male" 1 "Pretty Happy" 20 20 "Married" 2 "Fulltime" "Pisces" 82500
35 16 50 "Male" 4 "Very Happy" 12 17 "Married" 2 "Fulltime" "Libra" 110000
53 12 44 "Female" 2 "Pretty Happy" 12 12 "Divorced" 2 "Fulltime" "Sagittarius" 82500
36 12 40 "Male" 2 "Pretty Happy" 3 12 "Married" 1 "Fulltime" "Scorpio" 67500
48 14 40 "Female" 1 "Very Happy" 14 12 "Divorced" 3 "Fulltime" "Aquarius" 1e+05
32 12 40 "Female" 3 "Very Happy" 11 10 "Married" 4 "Fulltime" "Virgo" 67500
38 11 40 "Male" 6 "Pretty Happy" 10 10 "Never Married" 3 "Fulltime" "Capricorn" 23750
39 14 80 "Female" 2 "Pretty Happy" 14 12 "Never Married" 2 "Fulltime" "Pisces" 37500
